News,Price_Direction_Up,Price_Direction_Constant,Price_Direction_Down,Asset_Comparision,Past_Information,Future_Information,Price_Sentiment,label_num
august gold ends up $16.20 at $931.30 an ounce on nymex,1,0,0,0,1,0,positive,2
"gold futures fall under $400, first time since dec. 2",0,0,1,0,1,0,negative,1
ghana makes government certificate mandatory for exporting dore gold,0,0,0,0,1,0,none,3
gold holds modest loss after ism services data,0,0,1,0,1,0,negative,1
gold notches two-week high on expectations fed will lift rates slowly,1,0,0,0,1,0,positive,2
gold prices gain in major metros in india,1,0,0,0,1,0,positive,2
gold futures mark first gain in four sessions,1,0,0,0,1,0,positive,2
"gold sets fresh multi-decade high of $815.2/ounce, up $4.4",1,0,0,0,1,0,positive,2
Support for MCX Gold Feb at Rs 28800: Kotak Commodity,0,0,0,1,1,0,none,3
microsoft ceo sees 'gold rush' in the cloud,0,0,0,0,0,1,none,3
gold ends at lowest level in over 2 weeks as dollar strengthens,0,0,1,1,1,0,negative,1
"gold, silver bounce on global cues, jewellers buying",1,0,0,1,1,0,positive,2
gold scores gain for second session in a row,1,0,0,0,1,0,positive,2
Jewellers want gold import duty cut to 2%,0,0,0,0,1,0,none,3
"gold heads for worst week in 2 months on syria, fed",0,0,1,0,1,0,negative,1
"gold hits new high of rs 24,350; silver sheds rs 3,100",1,0,0,1,1,0,positive,2
dec gold falls $4.10 to $462.80/oz in morning ny trade,0,0,1,0,1,0,negative,1
"Gold at 10-month low, down 5 weeks in a row",0,0,1,0,1,0,negative,1
abc refinery gains shanghai gold exchange accreditation,0,0,0,0,1,0,none,3
Spot Gold rates move up today,1,0,0,0,1,0,positive,2
"gold jumps above $1,150 as u.s. dollar collapses to 3-month low",1,0,0,1,1,0,positive,2
Gold futures end higher after back-to-back drop,1,0,0,0,1,0,positive,2
natixis : look for gold to rally in september as usd weakens,1,0,0,1,1,0,positive,2
silver steals the shine as gold loses lustre,0,0,1,1,1,0,negative,1
kinross gold agrees $500 million credit facility,0,0,0,0,1,0,none,3
"Dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%",1,0,0,0,1,0,positive,2
gold ends at two-week low as dollar continues to strengthen,0,0,1,1,1,0,negative,1
gold futures fall 0.24% on global cues,0,0,1,0,1,0,negative,1
Gold prices to trade lower today: Angel Commodities,0,0,1,0,0,1,negative,1
gold rates: mcx goldguinea july contract declines,0,0,1,0,1,0,negative,1
india : jewellers & bullion traders spar over gold import duty,0,0,0,0,1,0,none,3
gold prices may slip to rs 28745-27850: mangal keshav,0,0,1,0,1,0,negative,1
"gold issues, futures prices inch up",1,0,0,0,1,0,positive,2
"August gold settles at $1,245.50/oz, up $3.50, or 0.3%",1,0,0,0,1,0,positive,2
Gold Prices Remain Lower on Stronger U.S. Dollar,0,1,1,1,1,0,negative,1
gold prices pull back from 4-month highs,0,0,1,0,1,0,negative,1
"feb. gold down $3.70, or 0.3%, at $1,234.90/oz",0,0,1,0,1,0,negative,1
"December gold gains $8.50, or 0.6%, at $1,368.50/oz.",1,0,0,0,1,0,positive,2
gold futures climb above $700 an ounce in morning dealings,1,0,0,0,1,0,positive,2
gold etfs record rs 900 cr outflow in 2015; aum down 20%,0,0,1,0,1,0,negative,1
gold may touch rs 35500/10gms in few days: kishore narne,0,0,0,0,0,1,none,3
how trumpenomics torpedoed gold prices,0,0,0,0,1,0,none,3
"august gold off 0.5% at $1,253.90/oz.",0,0,1,0,1,0,negative,1
"August gold down $10, or 0.8%, to settle at $1,246.40/oz",0,0,1,0,1,0,negative,1
"April gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258",0,0,1,0,1,0,negative,1
"Feb. gold settles at $1,184.90/oz, up $11.50, or about 1%",1,0,0,0,1,0,positive,2
"gold, oil hold to gains after ism data",0,1,0,1,1,0,neutral,0
"price-fixing of gold, oil to become a crime in u.k.",0,0,0,1,0,1,none,3
gold holds steady as dollar firms,0,1,0,1,1,0,neutral,0
gold gains on dollar weakness,1,0,0,1,1,0,positive,2
"gold rate today: gold, silver down in morning trade",0,0,1,1,1,0,negative,1
Modern medicine strikes gold,0,0,0,0,1,0,none,3
gold prices gain along with stock futures,1,0,0,0,1,0,positive,2
metals issues climb; gold steadies,0,1,0,0,1,0,neutral,0
gold falls for ninth day as dollar rises vs. euro,0,0,1,1,1,0,negative,1
gold futures finish at a 1-week high ahead of fed decision,1,0,0,0,1,0,positive,2
fred hickey - buy gold,1,0,0,0,0,1,positive,2
"December gold up 0.3% at $1,343.30/oz.",1,0,0,0,1,0,positive,2
Here's what's driving bitcoin buyers' rush to 'millennial gold',0,0,0,1,1,0,none,3
"More steps' to curb gold imports, if needed",0,0,0,0,1,0,none,3
"Dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%",1,0,0,0,1,0,positive,2
gold shares buoy bay street,1,0,0,0,1,0,positive,2
gold ends higher; silver down 2% after steep loss,0,0,1,1,1,0,negative,1
Gold futures log highest settlement since mid-November,1,0,0,0,1,0,positive,2
"gold closes above rs 18,000-level on strong global cues",1,0,0,0,1,0,positive,2
"gold ends lower at rs 13,130",0,0,1,0,1,0,negative,1
"Gold glitters ahead of Dhanteras, Diwali",1,0,0,0,1,0,positive,2
"Gold holds above $1,200/oz on weaker dollar before Fed minutes",0,1,0,1,1,0,neutral,0
"gold, silver encounter profit-selling, global cues",0,0,1,1,1,0,negative,1
Gold surges most in four weeks on Dagong US downgrade,1,0,0,0,1,0,positive,2
Gold / Silver / Copper futures - weekly outlook: August 4 - 8,0,0,0,1,1,0,none,3
"April gold settles at $1,230.20/bbl, up $3.10, or 0.3%",1,0,0,0,1,0,positive,2
Gold prices gain in Asia as China CPI up less than expected,1,0,0,0,1,0,positive,2
"gold futures end slightly higher, but tally a third straight weekly loss",1,0,0,0,1,0,positive,2
have a question about gold? ask the author of 'precious metals investing for dummies' now,0,0,0,0,1,0,none,3
sharps pixley: chinese gold demand slipping - but still up y-o-y,1,0,0,0,1,0,positive,2
Expect Gold to trade sideways: Sushil Finance,0,1,0,0,0,1,neutral,0
today gold price: track today gold rate latest trends and news,0,0,0,0,1,0,none,3
"Dhanteras: This season, it is lightweight gold, silver",0,0,0,1,1,0,none,3
"hiding behind gold's flashy moves, oil's the true performer",1,0,0,0,1,0,positive,2
"gold, oil trade lower as jobs data weigh",0,0,1,1,1,0,negative,1
sge : daily shanghai gold benchmark price,0,0,0,0,1,0,none,3
"gold futures rise, as dollar edges lower",1,0,0,1,1,0,positive,2
Gold suffers from biggest single-day dollar and percentage loss since Jan. 25,0,0,1,1,1,0,negative,1
expect downward move in gold: astromoneyguru,0,0,1,0,0,1,negative,1
rjo futures : gold versus silver: q2 to benefit the white metals,0,0,0,1,1,0,none,3
Gold prices end the month with a loss of about 1.1%,0,0,1,0,1,0,negative,1
"april gold settles at $1,222.60/oz on comex, up $12.50, or 1%",1,0,0,0,1,0,positive,2
"june gold down $11.7, or 1%, after sentiment data",0,0,1,0,1,0,negative,1
hong kong : world's top jeweler reveals growing appetite for gold in china,0,0,0,0,0,1,none,3
"low inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment",0,0,1,0,1,0,negative,1
Gold slips as dollar steadies on positive US data,0,0,1,1,1,0,negative,1
gold prices jump in early asia as fed hold steady citing global weakness,1,0,0,0,1,0,positive,2
"intraday strategy for gold, nickel, lead: angel broking",0,0,0,0,1,0,none,3
Gold futures settle at lowest level since early February,0,0,1,0,1,0,negative,1
"gold ends lower, still flirting with $1,200 level",0,0,1,0,1,0,negative,1
"gold may be flying, but this gold stock's a turkey",0,0,0,0,1,0,none,3
"gold, silver start week on firm note, rise on global cues",1,0,0,1,1,0,positive,2
"Gold, silver gain on more bets the Fed will take it slow on raising rates",1,0,0,1,1,0,positive,2
"Gold industry sees prices rising to $1,532/oz over 12 months",1,0,0,0,1,0,positive,2
gold rises as dollar weakens anew; silver ends near $16,1,0,0,1,1,0,positive,2
Gold Prices Edge Higher With All Eyes on U.S. Tariffs,1,0,0,0,1,0,positive,2
december gold up $5.90 to $822.70 an ounce on globex,1,0,0,0,1,0,positive,2
Gold at 3-week high as dollar struggles amid US rate outlook,1,1,0,1,1,0,positive,2
"june gold up 0.2% at $1,319.90/oz.",1,0,0,0,1,0,positive,2
sell mcx gold dec around rs 31500; target rs 31170: geojit,0,0,0,0,1,0,none,3
MCX GOLD February contract moves up,1,0,0,0,1,0,positive,2
"august gold trades at $1,300.10/oz, down $8.90, or 0.7%",0,0,1,0,1,0,negative,1
Gold futures up 0.36% on positive global cues,1,0,0,0,1,0,positive,2
"Gold futures dip to Rs 29,012 on weak global cues",0,0,1,0,1,0,negative,1
MCX GOLDPETAL Nov contract up marginally,1,0,0,0,1,0,positive,2
gold holds steady amid softer dollar,0,1,0,1,1,0,neutral,0
Assets under Gold ETFs up nearly three fold,1,0,0,0,1,0,positive,2
Gold marks new session lows as U.S. dollar index trades near day's highs,0,0,1,1,1,0,negative,1
gold rises to 1-week high as dollar holds steady,1,0,0,1,1,0,positive,2
gold adds to gains after weak china data,1,0,0,0,1,0,positive,2
gold prices fall for the session to post a modest loss for the week,0,0,1,0,1,0,negative,1
"commodity watch: gold, silver rise; sugar slides in futures trade",1,0,0,1,1,0,positive,2
"Look to buy gold on dips to $1,240",0,0,1,0,1,0,negative,1
"goldman's prior end-2013 gold call was $1,435/oz",0,0,0,0,1,0,none,3
"Gold futures pare gains, but still finish at a 6-week high",1,0,0,0,1,0,positive,2
gold survives goldman sachs,0,0,0,0,1,0,none,3
gold futures up $12.20 at $954.70 an ounce,1,0,0,0,1,0,positive,2
reserve bank of india adds 2.5 tonnes of gold to forex reserves in q4,0,0,0,0,1,0,none,3
"Gold futures rise to Rs 29,416",1,0,0,0,1,0,positive,2
"cboe gold index closes at 84.2, up 4%",1,0,0,0,1,0,positive,2
"Dec. gold settles at $1,296.70/oz, up $5.10, or 0.4%",1,0,0,0,1,0,positive,2
moody's revises pilgrim's pride outlook on gold kist bid,0,0,0,0,1,0,none,3
"june gold futures fall $11.60, or 0.9%, to settle at $1,277.50 an ounce",0,0,1,0,1,0,negative,1
gold prices soar but buyers bet on akshaya tritiya,1,0,0,0,1,0,positive,2
Gold future extend losses after jobs report,0,0,1,0,1,0,negative,1
"Dec. gold drops $33.40, or 2.6%, to $1,233/oz",0,0,1,0,1,0,negative,1
hedge funds kept betting against gold even as prices began rally,0,0,0,0,1,0,none,3
"dec. gold reverses losses, gaining 0.6% to $734.70 an ounce",0,0,1,0,1,0,negative,1
gold futures mark their highest settlement since feb. 11,1,0,0,0,1,0,positive,2
current gold rate: check out current gold price,0,0,0,0,1,0,none,3
2018 gold price 'could hit $1450',0,0,0,0,0,1,none,3
"gold rallies to finish near $1,200 as trump fuels market uncertainty",1,0,0,0,1,0,positive,2
"gold tops $1,790 to end at over six-week high",1,0,0,0,1,0,positive,2
gold futures rebound on firm global cues,1,0,0,0,1,0,positive,2
gold prices on track to settle lower for the session,0,0,1,0,1,0,negative,1
Fading aura: Gold set for further correction,0,0,1,0,0,1,negative,1
gold prices rebound in asia ahead of china q3 gdp,1,0,0,0,1,0,positive,2
"gold, oil hold on to gains post bernanke",1,0,0,1,1,0,positive,2
mcx goldguinea november contract rises,1,0,0,0,1,0,positive,2
Gold futures mark lowest settlement since early June,0,0,1,0,1,0,negative,1
"Gold prices trading higher in Chennai, Ahmedabad market",1,0,0,0,1,0,positive,2
gold futures remain lower after durable goods,0,0,1,0,1,0,negative,1
gold kist started at hold at stifel nicolaus,0,1,0,0,1,0,neutral,0
gold's 47-year bull market,0,0,0,0,1,0,none,3
dubai loses glitter as vat tax crimps demand in city of gold,0,0,1,0,1,0,negative,1
sanguine about gold,1,0,0,0,1,0,positive,2
gold ends narrowly higher as 'many uncertainties' plague the market,1,0,0,0,1,0,positive,2
"june gold last at $1,203.90/oz on comex, down 20 cents",0,0,1,0,1,0,negative,1
"June gold down 1.5% at $1,230.40/oz.",0,0,1,0,1,0,negative,1
gold scores third straight win; edges up more after fed decision,1,0,0,0,1,0,positive,2
Gold settles lower as investors look to Jackson Hole,0,0,1,0,1,0,negative,1
gold rises rs 67 in futures trade on global cues,1,0,0,0,1,0,positive,2
gold falls as jobs data clip economic worries,0,0,1,0,1,0,negative,1
festive demand lifts up gold & silver prices,1,0,0,1,1,0,positive,2
"gold futures up $8.50 at $1,005.20 an ounce",1,0,0,0,1,0,positive,2
"Gold hits 4-week high as central bank meetings, Brexit vote shake stocks",1,0,0,0,1,0,positive,2
"gold closes a tad lower at $1,325.10/oz",0,0,1,0,1,0,negative,1
lower oil prices and weaker gold demand positive for current account deficit,0,0,1,1,1,0,negative,1
"karvy advises to sell gold, silver",0,0,1,1,0,1,negative,1
"oil, gold push higher after german court ruling",1,0,0,1,1,0,positive,2
"Gold falls on upbeat U.S. housing, inflation data",0,0,1,0,1,0,negative,1
inflation : long-term evidence: gold and inflation,0,0,0,0,1,0,none,3
akshay tritiya gold sales to beat last year's record,0,0,0,0,1,0,none,3
"gold prices edge higher on weaker dollar, trade tensions",1,0,0,1,1,0,positive,2
Gold stands tall as China fears fuel safe-haven draw,1,0,0,0,1,0,positive,2
gold futures turn lower ahead of comex close,0,0,1,0,1,0,negative,1
Gold's 2016 peak now looks easy to reach after the metal's big breakout,1,0,0,0,0,1,positive,2
"Gold settles higher, but seesaws after Fed statement",1,0,0,0,1,0,positive,2
india's 2015-16 gold imports drop 16%: report,0,0,0,0,1,0,none,3
dec gold down 1.4% at $407.10,0,0,1,0,1,0,negative,1
"Feb. gold settles at $1,204.90/oz, up $3.40, or 0.3%",1,0,0,0,1,0,positive,2
here's why gold might die out as an investment,0,0,1,0,0,1,negative,1
"gold futures rally, as other commodities also rise",1,0,0,0,1,0,positive,2
gold futures mark highest settlement in a month,1,0,0,0,1,0,positive,2
"gold advances, oil posts losses after u.s. outlook",1,0,0,1,1,0,positive,2
gold futures gain nearly 3% for the month,1,0,0,0,1,0,positive,2
apollo gold cut to underperform by bmo nesbitt,0,0,0,0,1,0,none,3
mining : top gold miners production cost still provides floor in the market price,0,0,1,0,1,0,negative,1
gold to trade in 28372-28686 range: achiievers equities,0,1,0,0,0,1,neutral,0
gold rebounds to hit four-month high; silver spurts,1,0,0,1,1,0,positive,2
Gold holds slight gain after data,1,0,0,0,1,0,positive,2
gold etfs higher in early trade,1,0,0,0,1,0,positive,2
august gold falls 0.4% to $951.30 an ounce,0,0,1,0,1,0,negative,1
"february gold up 0.3% at 1,274.80 an ounce",1,0,0,0,1,0,positive,2
"gold edges up on softer dollar, palladium at 16-year peak",1,0,0,1,1,0,positive,2
MCX GOLD Dec contract trading lower,0,0,1,0,1,0,negative,1
"dec gold climbs $4.60 to $467.90/oz, a 9-mo high",1,0,0,0,1,0,positive,2
gold stays close to 6-week low as investors await fed outcome,0,0,1,0,1,0,negative,1
"gold rises on ukraine unease, though u.s. data cap gains",1,0,0,0,1,0,positive,2
gold futures down 0.43% on weak global cues,0,0,1,0,1,0,negative,1
"Gold surges by Rs 290 on global cues; reclaims Rs 26,000-level",1,0,0,0,1,0,positive,2
gold ends lower as bearish sentiment takes hold,0,0,1,0,1,0,negative,1
"gold falls 1.5% on day, down 0.4% on week",0,0,1,0,1,0,negative,1
"gold futures climb, but end the week down 2.5%",1,0,1,0,1,0,positive,2
"Gold edges up after 2-day decline, China concerns support",1,0,1,0,1,0,positive,2
"Gold struggles on firmer dollar, Fed rate hike fears",0,0,1,1,1,0,negative,1
june gold up $10.40 at $875.50 an ounce on nymex,1,0,0,0,1,0,positive,2
"Dec. gold gains 20 cents to settle at $1,267.70/oz for the session",1,0,0,0,1,0,positive,2
seasonal demand pushes up gold by rs 375; silver by rs 400,1,0,0,1,1,0,positive,2
Gold edges lower as dollar holds steady,0,0,1,1,1,0,negative,1
Gold prices turn higher ahead of Comex settlement,1,0,0,0,1,0,positive,2
"Gold, silver edge higher ahead of U.S. jobless claims, housing data",1,0,0,1,1,0,positive,2
"gold futures add $19.80 to $1,733.20",1,0,0,0,1,0,positive,2
the curious case of this year's high gold imports,0,0,0,0,1,0,none,3
gold logs modest losses for the day and week,0,0,1,0,1,0,negative,1
Gold rises on safe-haven buying,1,0,0,0,1,0,positive,2
gold options 'fear' traders turn to gold miners,0,0,1,0,0,1,negative,1
"Dec. gold declines by $16.80, or 1.3%, to settle at $1,286.20/oz",0,0,1,0,1,0,negative,1
"gold slips $2.10 to settle at $1,183.50/oz",0,0,1,0,1,0,negative,1
"June gold trades $6.80, or 0.6%, higher at $1,234.50/oz.",1,0,0,0,1,0,positive,2
"Gold futures down at Rs 27,477 on profit-taking",0,0,1,0,1,0,negative,1
get gold at a discount now,0,0,0,0,1,0,none,3
"gold futures dull, hold above $440",0,1,0,0,1,0,neutral,0
"Dec. gold gains $3.70, or 0.3%, to settle at $1,294.70/oz",1,0,0,0,1,0,positive,2
Gold prices push higher amid Hong Kong unrest,1,0,0,0,1,0,positive,2
"gold closes 0.2% down at $1,268.70/oz",0,0,1,0,1,0,negative,1
"Gold pares losses by the finish, gains 1.2% for the week",1,0,0,0,1,0,positive,2
"gold rate today: gold, silver trade higher in morning deals",1,0,0,1,1,0,positive,2
"anz cuts '12 gold outlook, cites dollar headwinds",0,0,1,1,0,1,negative,1
"gold closes lower, palladium rises",0,0,1,1,1,0,negative,1
gold kist rejects pilgrim's pride offer as inadequate,0,0,0,0,1,0,none,3
waiting for gold to bottom? Watch this group of bulls,0,0,1,0,1,0,negative,1
"Gold, silver skid on profit-taking, global cues",0,0,1,1,1,0,negative,1
gold futures settle at lowest level since jan. 2,0,0,1,0,1,0,negative,1
"crude oil higher, gold futures lower after data",0,0,1,1,1,0,negative,1
Gold futures mark highest finish in about 5 months,1,0,0,0,1,0,positive,2
"Gold prices end with a slight loss as U.S. equities, dollar gain ground",0,0,1,1,1,0,negative,1
iamgold deal for gold field non-sadc assets,0,0,0,0,1,0,none,3
india : rising gold prices keep india's jewellery buyers at bay,1,0,0,0,1,0,positive,2
"Gold futures trim gain after jobless claims, PPI data",1,0,0,0,1,0,positive,2
MCX GOLD Dec contract trading higher,1,0,0,0,1,0,positive,2
gold prices climb over $8 an ounce in afternoon trading,1,0,0,0,1,0,positive,2
Gold futures extends losses,0,0,1,0,1,0,negative,1
graham birch : this gold guy managed $40 billion at blackrock - but quit to run a farm instead,0,0,0,0,1,0,none,3
"Gold prices rise on softer dollar, Italy budget woes",1,0,0,1,1,0,positive,2
"gold futures climb $9, edge back up toward $1,800",1,0,0,0,1,0,positive,2
gold demand in india rose by 66% to 963 tonnes in 2010: wgc,0,0,0,0,1,0,none,3
MCX GOLDGUINEA Nov contract down marginally,0,0,1,0,1,0,negative,1
mining indexes slump on gold slide,0,0,1,0,1,0,negative,1
Gold ends near 3-week high as dollar sinks,1,0,0,1,1,0,positive,2
gold and silver edge lower while stocks tumble,0,0,1,1,1,0,negative,1
gold prices rip higher following rpts former trump nat. sec. advisor cooperating with special prosecutor,1,0,0,0,1,0,positive,2
"Dec. gold trades at $1,255.40/oz, up from $1,253.80 settlement",1,0,0,0,1,0,positive,2
gold futures give up europe-deal gains,1,0,0,0,1,0,positive,2
Going for gold: Olympic triumphs literally losing value at Rio Games,0,0,0,0,1,0,none,3
why investors are quietly turning bearish on gold prices,0,0,0,0,1,0,none,3
Gold futures log highest finish since Oct. 3,1,0,0,0,1,0,positive,2
Gold holds early gains after PPI report,1,0,0,0,1,0,positive,2
"rbi followed due process in notifying 80:20 gold scheme, says former deputy guv hr khan",0,0,0,0,1,0,none,3
"Gold, silver rebound on aggressive buying",1,0,0,1,1,0,positive,2
"dec. gold loses $10.30, or 0.9%, to settle at $1,172.80/oz on comex",0,0,1,0,1,0,negative,1
This-and not North Korea-is why scared investors are buying gold,1,0,0,0,0,1,positive,2
gold prices rise for second day on jewellers' buying,1,0,0,0,1,0,positive,2
feb gold down $7.70 at $430.70/oz in ny,0,0,1,0,1,0,negative,1
Gold nudges up as Asian shares edge lower,1,0,0,0,1,0,positive,2
"gold futures fall, tracking tumble in oil prices",0,0,1,1,1,0,negative,1
gold prices dull on dollar strength,0,0,1,1,1,0,negative,1
"gold falls 2% on central banks' action, euro hopes",0,0,1,0,1,0,negative,1
gold sparkles again,1,0,0,0,1,0,positive,2
gold scores biggest weekly gain since january,1,0,0,0,1,0,positive,2
government fixes rate at rs 2987/gm for sovereign gold bond,0,0,0,0,1,0,none,3
gold prices to trade volatile: angel commodities,1,0,1,0,0,1,positive,2
when will gold finally return to a bull market?,0,0,0,0,0,1,none,3
Gold appetite hit a 5-year high in November as prices tumbled,1,0,0,0,1,0,positive,2
"june gold down 0.2%, or $1.40, at $688.50/oz in ny",0,0,1,0,1,0,negative,1
"April gold climbs $3.40, or 0.3%, to settle at $1,239.50/oz",1,0,0,0,1,0,positive,2
gold steady on easing dollar; fed minutes in focus,0,1,0,1,1,0,neutral,0
"More upside seen in gold prices; buy futures above Rs 30,450 for target Rs 30,600",1,0,0,0,1,0,positive,2
gold slumps over 1% in wake of fed meeting,0,0,1,0,1,0,negative,1
singapore firm to mint islamic cryptocurrency backed by gold,0,0,0,0,1,0,none,3
